store_code,sku,sale_date,quantity_sold,revenue,is_promotion,is_holiday
STR-001,SKU-ELEC-001,2026-08-01,24,11999.76,0,0
STR-001,SKU-FASH-001,2026-08-01,42,1259.58,1,0
STR-001,SKU-HOME-001,2026-08-01,18,2339.82,0,0
STR-001,SKU-GROC-001,2026-08-01,145,723.55,0,0
STR-001,SKU-BEAU-001,2026-08-01,36,1439.64,0,0
STR-002,SKU-ELEC-001,2026-08-02,19,9499.81,0,0
STR-002,SKU-FASH-001,2026-08-02,58,1739.42,1,0
STR-002,SKU-HOME-001,2026-08-02,22,2859.78,0,0
STR-002,SKU-GROC-001,2026-08-02,160,798.40,0,0
STR-002,SKU-BEAU-001,2026-08-02,41,1639.59,0,0
STR-003,SKU-ELEC-001,2026-08-03,28,13999.72,1,0
STR-003,SKU-FASH-001,2026-08-03,65,1949.35,0,0
STR-003,SKU-HOME-001,2026-08-03,25,3249.75,1,0
STR-003,SKU-GROC-001,2026-08-03,185,923.15,0,0
STR-003,SKU-BEAU-001,2026-08-03,50,1999.50,0,0
STR-004,SKU-ELEC-001,2026-08-04,15,7499.85,0,0
STR-004,SKU-FASH-001,2026-08-04,38,1139.62,0,0
STR-004,SKU-HOME-001,2026-08-04,14,1819.86,0,0
STR-004,SKU-GROC-001,2026-08-04,120,598.80,0,0
STR-004,SKU-BEAU-001,2026-08-04,29,1159.71,0,0
